date,nav
2023-06-16,100000.0
2023-06-23,100000.0
2023-06-30,100000.0
2023-07-07,100038.02904000001
2023-07-14,100736.02904
2023-07-21,102245.22904
2023-07-28,101635.09478000001
2023-08-04,100959.50964
2023-08-11,100959.50964
2023-08-18,100875.97956000002
2023-08-25,101491.57956000003
2023-09-01,102426.37956000002
2023-09-08,103497.97956
2023-09-15,103771.57956000001
2023-09-22,104067.97956000002
2023-09-29,100336.53840000003
2023-10-06,100336.53840000003
2023-10-13,100336.53840000003
2023-10-20,100869.01938000003
2023-10-27,100912.81938000003
2023-11-03,101153.71938000002
2023-11-10,99189.76789500001
2023-11-17,99189.76789500001
2023-11-24,99189.76789500001
2023-12-01,98060.316995
2023-12-08,98273.51699500001
2023-12-15,99574.916995
2023-12-22,100319.116995
2023-12-29,100733.716995
2024-01-05,100255.71859500001
2024-01-12,99872.624955
2024-01-19,100152.04099500002
2024-01-26,101014.44099500001
2024-02-02,102186.20711500001
2024-02-09,103627.20023500003
2024-02-16,103627.20023500003
2024-02-23,104274.00023500001
2024-03-01,104285.523075
2024-03-08,106432.92307500001
2024-03-15,105794.32307500001
2024-03-22,108047.023075
2024-03-29,109946.22307500003
2024-04-05,109162.17617500003
2024-04-12,110069.04938500002
2024-04-19,112297.73767500004
2024-04-26,112297.73767500004
2024-05-03,107600.33187000005
2024-05-10,111281.90260000004
2024-05-17,111575.30260000005
2024-05-24,109864.78765000004
2024-05-31,110658.05680500006
2024-06-07,111733.12796500007
2024-06-14,111298.48046500006
2024-06-21,112388.32981500006
2024-06-28,113193.89019000008
2024-07-05,113836.29019000009
2024-07-12,113281.49019000007
2024-07-19,112630.54043000008
2024-07-26,112630.54043000008
2024-08-02,112630.54043000008
2024-08-09,112630.54043000008
2024-08-16,111573.2981900001
2024-08-23,112613.69819000008
2024-08-30,112980.8981900001
2024-09-06,112878.8981900001
2024-09-13,114796.49819000009
2024-09-20,115857.2981900001
2024-09-27,115411.6336700001
2024-10-04,115411.6336700001
2024-10-11,115411.6336700001
2024-10-18,115411.6336700001
2024-10-25,115411.6336700001
2024-11-01,116120.2064250001
2024-11-08,115165.33095000009
2024-11-15,109037.62905000009
2024-11-22,111109.62905000009
2024-11-29,113906.82905000007
2024-12-06,116289.62905000009
2024-12-13,117118.4290500001
2024-12-20,113482.1545600001
2024-12-27,115399.75456000007
2025-01-03,112600.68272000011
2025-01-10,112600.68272000011
2025-01-17,112650.04025500012
2025-01-24,113963.3402550001
2025-01-31,113357.14025500012
2025-02-07,114869.91323000012
2025-02-14,116571.91323000012
2025-02-21,116231.51323000011
2025-02-28,115072.62189000013
2025-03-07,114847.18941000014
2025-03-14,114779.59126000015
2025-03-21,113270.43392000014
2025-03-28,114664.43392000014
2025-04-04,115990.43392000014
2025-04-11,117511.93392000014
2025-04-18,120146.93392000014
2025-04-25,119696.43392000014
2025-05-02,119194.93392000014
2025-05-09,119704.93392000014
2025-05-16,116820.17014500016
2025-05-23,117488.27014500015
2025-05-30,117448.97014500014
2025-06-06,117527.57014500014
2025-06-13,117566.87014500015
2025-06-20,118156.37014500014
2025-06-27,118706.57014500015
2025-07-04,121378.97014500016
2025-07-11,122479.37014500015
2025-07-18,120514.15855000015
2025-07-25,122896.30143500018
2025-08-01,121390.67518500017
2025-08-08,121787.85401500018
2025-08-15,122626.36275500017
2025-08-22,123766.48246500018
2025-08-29,126220.28246500017
2025-09-05,125248.87686500017
2025-09-12,126902.96072000018
2025-09-19,126012.56072000018
2025-09-26,130178.36072000019
2025-10-03,133024.4607200002
2025-10-10,137206.16072000022
2025-10-17,152565.56072000018
2025-10-24,141247.63694000017
2025-10-31,143845.43694000016
2025-11-07,142884.30345500016
2025-11-14,142234.50405500014
2025-11-21,140061.00779500016
2025-11-28,139367.67817500012
2025-12-05,139551.27817500013
2025-12-12,140299.67817500012
2025-12-19,140896.47817500014
2025-12-26,143741.67817500012
2026-01-02,141198.1716750001
2026-01-09,140944.2831450001
2026-01-16,139305.94047500013
2026-01-23,144233.3549250001
2026-01-30,146977.3549250001
2026-02-06,144816.75242500016
2026-02-13,145317.25242500016
2026-02-20,145317.25242500016
2026-02-27,149639.75242500016
2026-03-06,152051.25242500016
2026-03-13,155645.75242500016
2026-03-20,152551.75242500016
2026-03-27,150891.50292500015
2026-04-03,150891.50292500015
2026-04-10,150891.50292500015
2026-04-17,150891.50292500015
2026-04-24,151237.67704500016
2026-05-01,154049.77704500017
2026-05-08,150247.0410600002
2026-05-15,150247.0410600002
2026-05-22,150247.0410600002
2026-05-29,150247.0410600002
2026-06-05,150247.0410600002
2026-06-12,150247.0410600002
2026-06-19,149757.31034000017
2026-06-26,145355.50670000017
2026-07-03,145355.50670000017
2026-07-10,145355.50670000017
