date,code,name,close,ma_short,ma_long,raw_momentum,risk_adj_mom,trend_up,qdii_overdev,vol_percentile
2023-07-07,518880,黄金ETF,4.359,4.3585,4.3469,0.22,0.0347,True,False,50.0
2023-07-07,510880,红利ETF,2.543,2.545,2.5964,-0.5,-0.0306,False,False,50.0
2023-07-07,513500,标普500ETF,1.502,1.485,1.4034,6.12,0.6407,True,False,50.0
2023-07-07,513180,恒生科技ETF,0.535,0.5437,0.5255,-0.33,-0.0119,False,False,50.0
2023-07-07,510300,沪深300ETF,3.588,3.6109,3.6623,-1.0,-0.0726,False,False,50.0
2023-07-14,518880,黄金ETF,4.388,4.362,4.3512,0.57,0.0977,True,False,50.0
2023-07-14,510880,红利ETF,2.576,2.5324,2.598,0.71,0.0455,False,False,50.0
2023-07-14,513500,标普500ETF,1.513,1.4976,1.4181,5.48,0.6174,True,False,50.0
2023-07-14,513180,恒生科技ETF,0.569,0.5485,0.5263,4.99,0.169,True,False,50.0
2023-07-14,510300,沪深300ETF,3.672,3.6268,3.6484,0.47,0.0317,False,False,50.0
2023-07-21,518880,黄金ETF,4.453,4.3839,4.363,2.56,0.4199,True,False,50.0
2023-07-21,510880,红利ETF,2.562,2.5382,2.5956,1.13,0.0793,False,False,50.0
2023-07-21,513500,标普500ETF,1.536,1.5108,1.4344,6.44,0.6065,True,False,50.0
2023-07-21,513180,恒生科技ETF,0.554,0.5488,0.5279,2.92,0.1129,True,False,50.0
2023-07-21,510300,沪深300ETF,3.61,3.6186,3.6315,-1.42,-0.1186,False,False,50.0
2023-07-28,518880,黄金ETF,4.404,4.405,4.373,1.15,0.1524,False,False,50.0
2023-07-28,510880,红利ETF,2.67,2.566,2.5964,4.08,0.322,False,False,50.0
2023-07-28,513500,标普500ETF,1.534,1.5235,1.4516,5.27,0.5214,True,False,50.0
2023-07-28,513180,恒生科技ETF,0.604,0.5582,0.5334,13.44,0.209,True,True,50.0
2023-07-28,510300,沪深300ETF,3.788,3.6458,3.631,3.91,0.2214,True,False,50.0
2023-08-04,518880,黄金ETF,4.401,4.4178,4.375,0.49,0.0627,False,False,50.0
2023-08-04,510880,红利ETF,2.66,2.6,2.589,1.49,0.1152,True,False,50.0
2023-08-04,513500,标普500ETF,1.526,1.5288,1.468,4.73,0.4727,False,False,50.0
2023-08-04,513180,恒生科技ETF,0.608,0.5738,0.542,13.29,0.2058,True,True,50.0
2023-08-04,510300,沪深300ETF,3.814,3.6878,3.6354,4.14,0.2408,True,False,50.0
2023-08-11,518880,黄金ETF,4.415,4.4245,4.378,0.8,0.11,False,False,50.0
2023-08-11,510880,红利ETF,2.596,2.6172,2.583,-0.89,-0.0617,False,False,50.0
2023-08-11,513500,标普500ETF,1.522,1.5335,1.4822,3.94,0.3983,False,False,50.0
2023-08-11,513180,恒生科技ETF,0.583,0.5841,0.5488,4.04,0.1246,False,False,50.0
2023-08-11,510300,沪深300ETF,3.67,3.7155,3.6405,-0.79,-0.0414,False,False,50.0
2023-08-18,518880,黄金ETF,4.421,4.42,4.3852,0.14,0.0253,True,False,50.0
2023-08-18,510880,红利ETF,2.613,2.629,2.5811,1.72,0.1211,False,False,50.0
2023-08-18,513500,标普500ETF,1.497,1.5297,1.4934,0.92,0.0915,False,False,50.0
2023-08-18,513180,恒生科技ETF,0.556,0.5875,0.5535,2.22,0.0615,False,False,50.0
2023-08-18,510300,沪深300ETF,3.572,3.713,3.6382,-1.08,-0.0546,False,False,50.0
2023-08-25,518880,黄金ETF,4.448,4.424,4.3953,1.19,0.2784,True,False,50.0
2023-08-25,510880,红利ETF,2.599,2.6262,2.5827,-1.12,-0.0968,False,False,50.0
2023-08-25,513500,标普500ETF,1.501,1.5225,1.503,1.1,0.0822,False,False,50.0
2023-08-25,513180,恒生科技ETF,0.561,0.5828,0.5588,1.39,0.0447,False,False,50.0
2023-08-25,510300,沪深300ETF,3.504,3.6676,3.6349,-4.28,-0.3015,False,False,50.0
