date,action,code,exec_price,shares,commission
2023-07-10,买入,518880,4.369,11400,7.47
2023-07-10,买入,513500,1.497,33400,7.5
2023-08-07,卖出,518880,4.414,11400,7.55
2023-08-14,卖出,513500,1.52,33400,7.62
2023-08-28,买入,518880,4.44,22800,15.18
2023-10-09,卖出,518880,4.398,22800,15.04
2023-10-09,买入,510880,2.663,37600,15.02
2023-10-16,卖出,510880,2.64,37600,14.89
2023-10-23,买入,518880,4.572,21700,14.88
2023-11-27,卖出,518880,4.529,21700,14.74
2023-12-04,买入,518880,4.67,10500,7.36
2023-12-04,买入,513500,1.547,31800,7.38
2024-01-29,卖出,518880,4.634,10500,7.3
2024-02-05,买入,518880,4.661,7300,5.1
2024-02-19,卖出,518880,4.636,7300,5.08
2024-03-04,买入,518880,4.728,7400,5.25
2024-04-08,卖出,513500,1.804,31800,8.61
2024-04-08,买入,510880,2.838,12900,5.49
2024-04-15,卖出,518880,5.388,7400,5.98
2024-04-15,卖出,510880,2.878,12900,5.57
2024-05-06,买入,518880,5.226,10600,8.31
2024-05-06,买入,510300,3.431,16200,8.34
2024-05-13,卖出,518880,5.338,10600,8.49
2024-05-13,买入,510880,2.924,19200,8.42
2024-05-20,卖出,510880,2.941,19200,8.47
2024-05-20,买入,518880,5.521,10200,8.45
2024-05-27,卖出,518880,5.321,10200,8.14
2024-05-27,卖出,510300,3.392,16200,8.24
2024-05-27,买入,510880,2.957,18600,8.25
2024-05-27,买入,513180,0.519,106000,8.25
2024-06-03,卖出,513180,0.507,106000,8.06
2024-06-11,卖出,510880,2.972,18600,8.29
2024-06-11,买入,518880,5.252,10300,8.11
2024-06-11,买入,513500,1.887,28900,8.18
2024-06-17,卖出,518880,5.3,10300,8.19
2024-07-29,卖出,513500,1.945,28900,8.43
2024-08-19,买入,518880,5.504,10100,8.34
2024-08-19,买入,513500,1.981,28000,8.32
2024-08-26,卖出,513500,1.985,28000,8.34
2024-09-30,卖出,518880,5.642,10100,8.55
2024-11-04,买入,518880,6.013,18700,16.87
2024-11-11,卖出,518880,5.899,18700,16.55
2024-11-11,买入,513180,0.628,176000,16.58
2024-11-18,卖出,513180,0.6,176000,15.84
2024-11-18,买入,513500,2.07,51000,15.84
2024-12-23,卖出,513500,2.173,51000,16.62
2024-12-23,买入,510880,2.977,37200,16.61
2025-01-06,卖出,510880,2.956,37200,16.49
2025-01-06,买入,518880,6.025,18200,16.45
2025-05-19,卖出,518880,7.204,18200,19.67
2025-05-19,买入,510880,2.965,44300,19.7
2025-06-16,卖出,510880,2.976,44300,19.78
2025-06-16,买入,518880,7.631,8600,9.84
2025-06-16,买入,513500,2.032,32400,9.88
2025-06-23,卖出,513500,2.012,32400,9.78
2025-06-23,买入,510880,2.995,21600,9.7
2025-06-30,卖出,518880,7.298,8600,9.41
2025-07-07,买入,513500,2.124,20400,6.5
2025-07-21,卖出,510880,3.081,21600,9.98
2025-07-21,买入,513180,0.76,57200,6.52
2025-07-28,卖出,513180,0.767,57200,6.58
2025-07-28,买入,510880,3.141,13900,6.55
2025-08-04,卖出,510880,3.05,13900,6.36
2025-08-04,买入,513180,0.734,58900,6.48
2025-08-11,卖出,513500,2.182,20400,6.68
2025-08-11,卖出,513180,0.738,58900,6.52
2025-08-11,买入,518880,7.454,8700,9.73
2025-08-11,买入,510300,4.062,16000,9.75
2025-08-18,卖出,518880,7.396,8700,9.65
2025-08-18,买入,513180,0.76,57800,6.59
2025-09-08,卖出,513180,0.768,57800,6.66
2025-09-22,卖出,510300,4.479,16000,10.75
2025-09-22,买入,518880,8.007,8500,10.21
2025-09-22,买入,513500,2.261,30300,10.28
2025-11-03,卖出,513500,2.451,30300,11.14
2025-11-03,买入,510300,4.631,16100,11.18
2025-11-10,卖出,518880,8.867,8500,11.31
2025-11-10,买入,510880,3.187,23600,11.28
2025-11-17,卖出,510300,4.605,16100,11.12
2025-11-17,买入,518880,8.924,5600,7.5
2025-11-24,卖出,518880,8.856,5600,7.44
2025-11-24,卖出,510880,3.108,23600,11.0
2025-12-01,买入,518880,9.148,8000,10.98
2025-12-01,买入,513500,2.465,29900,11.06
2026-01-05,卖出,513500,2.434,29900,10.92
2026-03-16,卖出,518880,10.628,8000,12.75
2026-03-16,买入,510880,3.367,47000,23.74
2026-03-30,卖出,510880,3.26,47000,22.98
2026-04-27,买入,510880,3.272,46800,22.97
2026-05-18,卖出,510880,3.218,46800,22.59
2026-06-22,买入,513500,2.572,58600,22.61
2026-06-29,卖出,513500,2.489,58600,21.88
