date,action,code,exec_price,shares,commission
2023-07-07,买入,513500,1.497,33400,7.5
2023-07-07,买入,518880,4.369,11400,7.47
2023-07-28,卖出,518880,4.406,11400,7.53
2023-08-11,卖出,513500,1.52,33400,7.62
2023-08-25,买入,518880,4.44,22700,15.12
2023-09-29,卖出,518880,4.398,22700,14.98
2023-10-20,买入,518880,4.572,21900,15.02
2023-11-24,卖出,518880,4.529,21900,14.88
2023-12-01,买入,513500,1.547,32000,7.43
2023-12-01,买入,518880,4.67,10600,7.43
2024-01-26,卖出,518880,4.634,10600,7.37
2024-02-02,买入,510880,2.613,13100,5.13
2024-03-15,卖出,510880,2.781,13100,5.46
2024-03-15,买入,510300,3.352,10700,5.38
2024-03-29,卖出,510300,3.327,10700,5.34
2024-03-29,买入,513180,0.479,76800,5.52
2024-04-05,卖出,513500,1.804,32000,8.66
2024-04-05,卖出,513180,0.463,76800,5.33
2024-04-05,买入,510880,2.838,12600,5.36
2024-04-05,买入,510300,3.341,10700,5.36
2024-04-05,买入,518880,5.291,6800,5.4
2024-04-12,卖出,510300,3.253,10700,5.22
2024-04-19,卖出,510880,3.019,12600,5.71
2024-04-19,卖出,518880,5.445,6800,5.55
2024-05-03,买入,510300,3.431,16000,8.23
2024-05-03,买入,518880,5.226,10500,8.23
2024-05-10,卖出,518880,5.338,10500,8.41
2024-05-10,买入,510880,2.924,19100,8.38
2024-05-17,卖出,510880,2.941,19100,8.43
2024-05-17,买入,518880,5.521,10100,8.36
2024-05-24,卖出,510300,3.392,16000,8.14
2024-05-24,卖出,518880,5.321,10100,8.06
2024-05-24,买入,513180,0.519,104800,8.16
2024-05-24,买入,510880,2.957,18300,8.12
2024-05-31,卖出,513180,0.507,104800,7.97
2024-06-07,卖出,510880,2.972,18300,8.16
2024-06-07,买入,513500,1.887,28500,8.07
2024-06-07,买入,518880,5.252,10200,8.04
2024-06-14,卖出,518880,5.3,10200,8.11
2024-06-21,买入,518880,5.302,10200,8.11
2024-06-28,卖出,518880,5.295,10200,8.1
2024-07-26,卖出,513500,1.945,28500,8.31
2024-08-16,买入,513500,1.981,27700,8.23
2024-08-16,买入,518880,5.504,9900,8.17
2024-08-23,卖出,513500,1.985,27700,8.25
2024-09-27,卖出,518880,5.642,9900,8.38
2024-11-01,买入,518880,6.013,18500,16.69
2024-11-08,卖出,518880,5.899,18500,16.37
2024-11-08,买入,513180,0.628,173700,16.36
2024-11-15,卖出,513180,0.6,173700,15.63
2024-11-15,买入,513500,2.07,49900,15.49
2024-12-20,卖出,513500,2.173,49900,16.26
2024-12-20,买入,510880,2.977,36200,16.17
2025-01-03,卖出,510880,2.956,36200,16.05
2025-01-03,买入,518880,6.025,18000,16.27
2025-05-16,卖出,518880,7.204,18000,19.45
2025-05-16,买入,510880,2.965,43600,19.39
2025-06-13,卖出,510880,2.976,43600,19.46
2025-06-13,买入,513500,2.032,32100,9.78
2025-06-13,买入,518880,7.631,8500,9.73
2025-06-20,卖出,513500,2.012,32100,9.69
2025-06-20,买入,510880,2.995,21400,9.61
2025-06-27,卖出,518880,7.298,8500,9.3
2025-07-04,买入,513500,2.124,20100,6.4
2025-07-18,卖出,510880,3.081,21400,9.89
2025-07-18,买入,513180,0.76,56500,6.44
2025-07-25,卖出,513180,0.767,56500,6.5
2025-07-25,买入,510880,3.141,13700,6.45
2025-07-25,买入,510300,4.082,10500,6.43
2025-08-01,卖出,510880,3.05,13700,6.27
2025-08-08,卖出,513500,2.182,20100,6.58
2025-08-08,买入,518880,7.454,8600,9.62
2025-08-15,卖出,518880,7.396,8600,9.54
2025-08-15,买入,513500,2.212,19400,6.44
2025-08-22,卖出,513500,2.194,19400,6.38
2025-08-22,买入,513180,0.783,83200,9.77
2025-09-05,卖出,513180,0.768,83200,9.58
2025-09-19,卖出,510300,4.479,10500,7.05
2025-09-19,买入,513500,2.261,28900,9.8
2025-09-19,买入,518880,8.007,8100,9.73
2025-10-31,卖出,513500,2.451,28900,10.63
2025-10-31,买入,510300,4.631,15400,10.7
2025-11-07,卖出,518880,8.867,8100,10.77
2025-11-07,买入,510880,3.187,22400,10.71
2025-11-14,卖出,510300,4.605,15400,10.64
2025-11-14,买入,513500,2.463,19400,7.17
2025-11-21,卖出,513500,2.379,19400,6.92
2025-11-21,卖出,510880,3.108,22400,10.44
2025-11-28,买入,513500,2.465,28200,10.43
2025-11-28,买入,518880,9.148,7600,10.43
2026-01-02,卖出,513500,2.434,28200,10.3
2026-03-13,卖出,518880,10.628,7600,12.12
2026-04-24,买入,510880,3.272,45700,22.43
2026-05-08,卖出,510880,3.259,45700,22.34
2026-05-08,买入,510300,4.913,30300,22.33
2026-05-15,卖出,510300,4.853,30300,22.06
2026-06-19,买入,513500,2.572,57200,22.07
2026-06-26,卖出,513500,2.489,57200,21.36
