date,action,code,name,open_price,exec_price,shares,amount,commission
2023-06-05,买入,513500,标普500ETF,1.432,1.435,34800,49937.99999999999,7.49
2023-06-05,买入,513180,恒生科技ETF,0.511,0.514,97200,49960.8,7.49
2023-07-03,卖出,513180,恒生科技ETF,0.539,0.536,97200,52099.200000000004,7.81
2023-07-03,买入,510300,沪深300ETF,3.61,3.612,14400,52012.799999999996,7.8
2023-07-10,卖出,510300,沪深300ETF,3.606,3.604,14400,51897.6,7.78
2023-07-10,买入,518880,黄金ETF,4.367,4.369,11900,51991.1,7.8
2023-07-17,卖出,518880,黄金ETF,4.394,4.392,11900,52264.8,7.84
2023-07-31,卖出,513500,标普500ETF,1.542,1.539,34800,53557.200000000004,8.03
2023-07-31,买入,513180,恒生科技ETF,0.623,0.626,84400,52834.4,7.93
2023-07-31,买入,510880,红利ETF,2.685,2.687,19600,52665.2,7.9
2023-08-07,卖出,510880,红利ETF,2.656,2.654,19600,52018.40000000001,7.8
2023-08-07,买入,510300,沪深300ETF,3.796,3.798,13600,51652.799999999996,7.75
2023-08-14,卖出,513180,恒生科技ETF,0.57,0.567,84400,47854.799999999996,7.18
2023-08-14,卖出,510300,沪深300ETF,3.639,3.637,13600,49463.2,7.42
2023-08-21,买入,518880,黄金ETF,4.422,4.424,22100,97770.4,14.67
2023-10-09,卖出,518880,黄金ETF,4.4,4.398,22100,97195.80000000002,14.58
2023-10-09,买入,510880,红利ETF,2.661,2.663,36500,97199.5,14.58
2023-10-16,卖出,510880,红利ETF,2.642,2.64,36500,96360.0,14.45
2023-10-23,买入,518880,黄金ETF,4.57,4.572,21100,96469.2,14.47
2023-11-13,卖出,518880,黄金ETF,4.523,4.521,21100,95393.09999999999,14.31
2023-11-13,买入,513180,恒生科技ETF,0.54,0.543,88500,48055.5,7.21
2023-12-04,卖出,513180,恒生科技ETF,0.521,0.518,88500,45843.0,6.88
2023-12-04,买入,513500,标普500ETF,1.544,1.547,30200,46719.4,7.01
2023-12-11,买入,518880,黄金ETF,4.547,4.549,10200,46399.799999999996,6.96
2024-01-08,卖出,513500,标普500ETF,1.586,1.583,30200,47806.600000000006,7.17
2024-01-08,买入,510880,红利ETF,2.624,2.626,18100,47530.6,7.13
2024-01-15,卖出,510880,红利ETF,2.584,2.582,18100,46734.200000000004,7.01
2024-01-22,卖出,518880,黄金ETF,4.646,4.644,10200,47368.8,7.11
2024-01-22,买入,513500,标普500ETF,1.651,1.654,57000,94278.0,14.14
2024-03-11,卖出,513500,标普500ETF,1.79,1.787,57000,101859.00000000001,15.28
2024-03-11,买入,513180,恒生科技ETF,0.459,0.462,111100,51328.200000000004,7.7
2024-03-25,卖出,513180,恒生科技ETF,0.47,0.467,111100,51883.7,7.78
2024-03-25,买入,518880,黄金ETF,4.964,4.966,10300,51149.8,7.67
2024-03-25,买入,513500,标普500ETF,1.838,1.841,27800,51179.799999999996,7.68
2024-04-08,卖出,513500,标普500ETF,1.807,1.804,27800,50151.200000000004,7.52
2024-05-06,卖出,518880,黄金ETF,5.224,5.222,10300,53786.600000000006,8.07
2024-05-06,买入,513180,恒生科技ETF,0.535,0.538,97300,52347.4,7.85
2024-05-27,卖出,513180,恒生科技ETF,0.516,0.513,97300,49914.9,7.49
2024-05-27,买入,513500,标普500ETF,1.829,1.832,27700,50746.399999999994,7.61
2024-05-27,买入,510880,红利ETF,2.955,2.957,17200,50860.399999999994,7.63
2024-06-03,卖出,513500,标普500ETF,1.826,1.823,27700,50497.100000000006,7.57
2024-06-17,卖出,510880,红利ETF,2.93,2.928,17200,50361.600000000006,7.55
2024-06-24,买入,513500,标普500ETF,1.912,1.915,26300,50364.49999999999,7.55
2024-06-24,买入,518880,黄金ETF,5.3,5.302,9500,50368.99999999999,7.56
2024-07-01,卖出,518880,黄金ETF,5.297,5.295,9500,50302.5,7.55
2024-07-22,卖出,513500,标普500ETF,1.955,1.952,26300,51337.600000000006,7.7
2024-07-22,买入,510300,沪深300ETF,3.384,3.386,15100,51128.6,7.67
2024-07-29,卖出,510300,沪深300ETF,3.259,3.257,15100,49180.700000000004,7.38
2024-08-19,买入,518880,黄金ETF,5.502,5.504,9000,49535.99999999999,7.43
2024-08-19,买入,513500,标普500ETF,1.978,1.981,25100,49723.1,7.46
2024-09-02,卖出,518880,黄金ETF,5.505,5.503,9000,49527.0,7.43
2024-09-02,买入,513180,恒生科技ETF,0.476,0.479,104200,49911.799999999996,7.49
2024-09-09,卖出,513500,标普500ETF,1.894,1.891,25100,47464.1,7.12
2024-09-09,卖出,513180,恒生科技ETF,0.465,0.462,104200,48140.4,7.22
2024-09-18,买入,518880,黄金ETF,5.621,5.623,8500,47795.5,7.17
2024-09-18,买入,513180,恒生科技ETF,0.476,0.479,99800,47804.2,7.17
2024-09-30,卖出,518880,黄金ETF,5.644,5.642,8500,47957.0,7.19
2024-11-04,卖出,513180,恒生科技ETF,0.611,0.608,99800,60678.4,9.1
2024-11-04,买入,518880,黄金ETF,6.011,6.013,18000,108234.0,16.24
2024-11-11,卖出,518880,黄金ETF,5.901,5.899,18000,106182.0,15.93
2024-11-11,买入,510300,沪深300ETF,3.941,3.943,13500,53230.49999999999,7.98
2024-11-11,买入,513500,标普500ETF,2.065,2.068,25700,53147.6,7.97
2024-11-18,卖出,510300,沪深300ETF,3.86,3.858,13500,52083.0,7.81
2024-12-23,卖出,513500,标普500ETF,2.176,2.173,25700,55846.1,8.38
2024-12-23,买入,513180,恒生科技ETF,0.618,0.621,86400,53654.4,8.05
2024-12-23,买入,510880,红利ETF,2.975,2.977,18000,53586.0,8.04
2025-01-06,卖出,513180,恒生科技ETF,0.612,0.609,86400,52617.6,7.89
2025-01-06,卖出,510880,红利ETF,2.958,2.956,18000,53208.00000000001,7.98
2025-01-06,买入,518880,黄金ETF,6.023,6.025,17600,106039.99999999999,15.91
2025-03-03,卖出,518880,黄金ETF,6.445,6.443,17600,113396.8,17.01
2025-03-03,买入,513180,恒生科技ETF,0.775,0.778,146500,113977.0,17.1
2025-03-24,卖出,513180,恒生科技ETF,0.777,0.774,146500,113391.0,17.01
2025-03-24,买入,518880,黄金ETF,6.77,6.772,8300,56207.59999999999,8.43
2025-03-24,买入,510880,红利ETF,2.911,2.913,19500,56803.49999999999,8.52
2025-04-14,卖出,510880,红利ETF,2.88,2.878,19500,56121.0,8.42
2025-05-12,卖出,518880,黄金ETF,7.341,7.339,8300,60913.700000000004,9.14
2025-05-12,买入,513180,恒生科技ETF,0.725,0.728,81700,59477.6,8.92
2025-05-26,卖出,513180,恒生科技ETF,0.707,0.704,81700,57516.799999999996,8.63
2025-05-26,买入,513500,标普500ETF,1.985,1.988,29000,57652.0,8.65
2025-07-21,卖出,513500,标普500ETF,2.142,2.139,29000,62030.99999999999,9.3
2025-07-21,买入,513180,恒生科技ETF,0.757,0.76,78800,59888.0,8.98
2025-07-21,买入,510300,沪深300ETF,4.014,4.016,14900,59838.4,8.98
2025-08-04,卖出,510300,沪深300ETF,3.999,3.997,14900,59555.3,8.93
2025-08-04,买入,513500,标普500ETF,2.148,2.151,27400,58937.40000000001,8.84
2025-08-11,卖出,513180,恒生科技ETF,0.741,0.738,78800,58154.4,8.72
2025-08-25,卖出,513500,标普500ETF,2.197,2.194,27400,60115.6,9.02
2025-08-25,买入,510300,沪深300ETF,4.378,4.38,13400,58692.0,8.8
2025-08-25,买入,513180,恒生科技ETF,0.78,0.783,75400,59038.200000000004,8.86
2025-09-15,卖出,513180,恒生科技ETF,0.808,0.805,75400,60697.00000000001,9.1
2025-09-15,买入,518880,黄金ETF,7.908,7.91,7700,60907.0,9.14
2025-09-22,卖出,510300,沪深300ETF,4.481,4.479,13400,60018.6,9.0
2025-09-22,买入,513180,恒生科技ETF,0.847,0.85,71600,60860.0,9.13
2025-10-20,卖出,513180,恒生科技ETF,0.807,0.804,71600,57566.4,8.63
2025-11-03,卖出,518880,黄金ETF,8.743,8.741,7700,67305.7,10.1
