date,action,code,name,open_price,exec_price,shares,amount,commission,reason
2023-07-10,买入,513500,标普500ETF,1.494,1.497,33400,49999.799999999996,7.5,新信号
2023-07-10,买入,518880,黄金ETF,4.367,4.369,11400,49806.6,7.47,新信号
2023-07-31,卖出,518880,黄金ETF,4.408,4.406,11400,50228.40000000001,7.53,信号变化
2023-07-31,买入,513180,恒生科技ETF,0.623,0.626,54100,33866.6,5.08,新信号
2023-08-07,卖出,513500,标普500ETF,1.517,1.514,33400,50567.6,7.59,信号变化
2023-08-07,买入,510300,沪深300ETF,3.796,3.798,13200,50133.59999999999,7.52,新信号
2023-08-14,卖出,513180,恒生科技ETF,0.57,0.567,54100,30674.699999999997,5.0,信号变化
2023-08-14,卖出,510300,沪深300ETF,3.639,3.637,13200,48008.4,7.2,信号变化
2023-08-21,买入,518880,黄金ETF,4.422,4.424,21600,95558.4,14.33,新信号
2023-10-09,卖出,518880,黄金ETF,4.4,4.398,21600,94996.80000000002,14.25,信号变化
2023-10-23,买入,518880,黄金ETF,4.57,4.572,20700,94640.4,14.2,新信号
2023-11-13,卖出,518880,黄金ETF,4.523,4.521,20700,93584.7,14.04,信号变化
2023-12-04,买入,513500,标普500ETF,1.544,1.547,30300,46874.1,7.03,新信号
2023-12-04,买入,518880,黄金ETF,4.668,4.67,10000,46700.0,7.0,新信号
2024-01-08,卖出,513500,标普500ETF,1.586,1.583,30300,47964.90000000001,7.19,信号变化
2024-01-15,买入,513500,标普500ETF,1.619,1.622,29200,47362.399999999994,7.1,新信号
2024-01-22,卖出,518880,黄金ETF,4.646,4.644,10000,46440.0,6.97,信号变化
2024-02-05,买入,518880,黄金ETF,4.659,4.661,6900,32160.899999999998,5.0,新信号
2024-02-19,卖出,518880,黄金ETF,4.638,4.636,6900,31988.4,5.0,信号变化
2024-03-04,买入,510880,红利ETF,2.823,2.825,11700,33052.5,5.0,新信号
2024-03-18,卖出,510880,红利ETF,2.783,2.781,11700,32537.7,5.0,信号变化
2024-03-18,买入,510300,沪深300ETF,3.35,3.352,9800,32849.6,5.0,新信号
2024-04-01,卖出,510300,沪深300ETF,3.329,3.327,9800,32604.600000000002,5.0,信号变化
2024-04-01,买入,513180,恒生科技ETF,0.476,0.479,69900,33482.1,5.02,新信号
2024-04-08,卖出,513500,标普500ETF,1.807,1.804,29200,52676.8,7.9,信号变化
2024-04-08,卖出,513180,恒生科技ETF,0.466,0.463,69900,32363.7,5.0,信号变化
2024-04-08,买入,510300,沪深300ETF,3.339,3.341,9800,32741.8,5.0,新信号
2024-04-08,买入,518880,黄金ETF,5.289,5.291,6100,32275.1,5.0,新信号
2024-04-08,买入,510880,红利ETF,2.836,2.838,11500,32636.999999999996,5.0,新信号
2024-04-15,卖出,510300,沪深300ETF,3.255,3.253,9800,31879.4,5.0,信号变化
2024-04-22,卖出,518880,黄金ETF,5.447,5.445,6100,33214.5,5.0,信号变化
2024-04-22,卖出,510880,红利ETF,3.021,3.019,11500,34718.5,5.21,信号变化
2024-05-06,买入,513180,恒生科技ETF,0.535,0.538,93000,50034.0,7.51,新信号
2024-05-06,买入,510300,沪深300ETF,3.429,3.431,14500,49749.49999999999,7.46,新信号
2024-05-13,卖出,513180,恒生科技ETF,0.529,0.526,93000,48918.0,7.34,信号变化
2024-05-27,卖出,510300,沪深300ETF,3.394,3.392,14500,49184.00000000001,7.38,信号变化
2024-05-27,买入,513500,标普500ETF,1.829,1.832,26800,49097.6,7.36,新信号
2024-05-27,买入,510880,红利ETF,2.955,2.957,16600,49086.2,7.36,新信号
2024-06-03,卖出,513500,标普500ETF,1.826,1.823,26800,48856.4,7.33,信号变化
2024-06-11,卖出,510880,红利ETF,2.974,2.972,16600,49335.200000000004,7.4,信号变化
2024-06-11,买入,513500,标普500ETF,1.884,1.887,26000,49061.99999999999,7.36,新信号
2024-06-11,买入,518880,黄金ETF,5.25,5.252,9300,48843.6,7.33,新信号
2024-06-17,卖出,518880,黄金ETF,5.302,5.3,9300,49290.0,7.39,信号变化
2024-06-24,买入,518880,黄金ETF,5.3,5.302,9300,49308.6,7.4,新信号
